Date,NASDAK
2006/5/16,"2,229.13"
2006/5/17,"2,195.80"
2006/5/18,"2,180.32"
2006/5/19,"2,193.88"
2006/5/22,"2,172.86"
2006/5/23,"2,158.76"
2006/5/24,"2,169.17"
2006/5/25,"2,198.24"
2006/5/26,"2,210.37"
2006/5/30,"2,164.74"
2006/5/31,"2,178.88"
2006/6/1,"2,219.86"
2006/6/2,"2,219.41"
2006/6/5,"2,169.62"
2006/6/6,"2,162.78"
2006/6/7,"2,151.80"
2006/6/8,"2,145.32"
2006/6/9,"2,135.06"
2006/6/12,"2,091.32"
2006/6/13,"2,072.47"
2006/6/14,"2,086.00"
2006/6/15,"2,144.15"
2006/6/16,"2,129.95"
2006/6/19,"2,110.42"
2006/6/20,"2,107.06"
2006/6/21,"2,141.20"
2006/6/22,"2,122.98"
2006/6/23,"2,121.47"
2006/6/26,"2,133.67"
2006/6/27,"2,100.25"
2006/6/28,"2,111.84"
2006/6/29,"2,174.38"
2006/6/30,"2,172.09"
2006/7/3,"2,190.43"
2006/7/5,"2,153.34"
2006/7/6,"2,155.09"
2006/7/7,"2,130.06"
2006/7/10,"2,116.93"
2006/7/11,"2,128.86"
2006/7/12,"2,090.24"
2006/7/13,"2,054.11"
2006/7/14,"2,037.35"
2006/7/17,"2,037.72"
2006/7/18,"2,043.22"
2006/7/19,"2,080.71"
2006/7/20,"2,039.42"
2006/7/21,"2,020.39"
2006/7/24,"2,061.84"
2006/7/25,"2,073.90"
2006/7/26,"2,070.46"
2006/7/27,"2,054.47"
2006/7/28,"2,094.14"
2006/7/31,"2,091.47"
2006/8/1,"2,061.99"
2006/8/2,"2,078.81"
2006/8/3,"2,092.34"
2006/8/4,"2,085.05"
2006/8/7,"2,072.50"
2006/8/8,"2,060.85"
2006/8/9,"2,060.28"
2006/8/10,"2,071.74"
2006/8/11,"2,057.71"
2006/8/14,"2,069.04"
2006/8/15,"2,115.01"
2006/8/16,"2,149.54"
2006/8/17,"2,157.61"
2006/8/18,"2,163.95"
2006/8/21,"2,147.75"
2006/8/22,"2,150.02"
2006/8/23,"2,134.66"
2006/8/24,"2,137.11"
2006/8/25,"2,140.29"
2006/8/28,"2,160.70"
2006/8/29,"2,172.30"
2006/8/30,"2,185.73"
2006/8/31,"2,183.75"
2006/9/1,"2,193.16"
2006/9/5,"2,205.70"
2006/9/6,"2,167.84"
2006/9/7,"2,155.29"
2006/9/8,"2,165.79"
2006/9/11,"2,173.25"
2006/9/12,"2,215.82"
2006/9/13,"2,227.67"
2006/9/14,"2,228.73"
2006/9/15,"2,235.59"
2006/9/18,"2,235.75"
2006/9/19,"2,222.37"
2006/9/20,"2,252.89"
2006/9/21,"2,237.75"
2006/9/22,"2,218.93"
2006/9/25,"2,249.07"
2006/9/26,"2,261.34"
2006/9/27,"2,263.39"
2006/9/28,"2,270.02"
2006/9/29,"2,258.43"
2006/10/2,"2,237.60"
2006/10/3,"2,243.65"
2006/10/4,"2,290.95"
2006/10/5,"2,306.34"
2006/10/6,"2,299.99"
2006/10/9,"2,311.77"
2006/10/10,"2,315.43"
2006/10/11,"2,308.27"
2006/10/12,"2,346.18"
2006/10/13,"2,357.29"
2006/10/16,"2,363.84"
2006/10/17,"2,344.95"
2006/10/18,"2,337.15"
2006/10/19,"2,340.94"
2006/10/20,"2,342.30"
2006/10/23,"2,355.56"
2006/10/24,"2,344.84"
2006/10/25,"2,356.59"
2006/10/26,"2,379.10"
2006/10/27,"2,350.62"
2006/10/30,"2,363.77"
2006/10/31,"2,366.71"
2006/11/1,"2,334.35"
2006/11/2,"2,334.02"
2006/11/3,"2,330.79"
2006/11/6,"2,365.95"
2006/11/7,"2,375.88"
2006/11/8,"2,384.94"
2006/11/9,"2,376.01"
2006/11/10,"2,389.72"
2006/11/13,"2,406.38"
2006/11/14,"2,430.66"
2006/11/15,"2,442.75"
2006/11/16,"2,449.06"
2006/11/17,"2,445.86"
2006/11/20,"2,452.72"
2006/11/21,"2,454.84"
2006/11/22,"2,465.98"
2006/11/24,"2,460.26"
2006/11/27,"2,405.92"
2006/11/28,"2,412.61"
2006/11/29,"2,432.23"
2006/11/30,"2,431.77"
2006/12/1,"2,413.21"
2006/12/4,"2,448.39"
2006/12/5,"2,452.38"
2006/12/6,"2,445.86"
2006/12/7,"2,427.69"
2006/12/8,"2,437.36"
2006/12/11,"2,442.86"
2006/12/12,"2,431.60"
2006/12/13,"2,432.41"
2006/12/14,"2,453.85"
2006/12/15,"2,457.20"
2006/12/18,"2,435.57"
2006/12/19,"2,429.55"
2006/12/20,"2,427.61"
2006/12/21,"2,415.85"
2006/12/22,"2,401.18"
2006/12/26,"2,413.51"
2006/12/27,"2,431.22"
2006/12/28,"2,425.57"
2006/12/29,"2,415.29"
2007/1/3,"2,423.16"
2007/1/4,"2,453.43"
2007/1/5,"2,434.25"
2007/1/8,"2,438.20"
2007/1/9,"2,443.83"
2007/1/10,"2,459.33"
2007/1/11,"2,484.85"
2007/1/12,"2,502.82"
2007/1/16,"2,497.78"
2007/1/17,"2,479.42"
2007/1/18,"2,443.21"
2007/1/19,"2,451.31"
2007/1/22,"2,431.07"
2007/1/23,"2,431.41"
2007/1/24,"2,466.28"
2007/1/25,"2,434.24"
2007/1/26,"2,435.49"
2007/1/29,"2,441.09"
2007/1/30,"2,448.64"
2007/1/31,"2,463.93"
2007/2/1,"2,468.38"
2007/2/2,"2,475.88"
2007/2/5,"2,470.60"
2007/2/6,"2,471.49"
2007/2/7,"2,490.50"
2007/2/8,"2,488.67"
2007/2/9,"2,459.82"
2007/2/12,"2,450.38"
2007/2/13,"2,459.88"
2007/2/14,"2,488.38"
2007/2/15,"2,497.10"
2007/2/16,"2,496.31"
2007/2/20,"2,513.04"
2007/2/21,"2,518.42"
2007/2/22,"2,524.94"
2007/2/23,"2,515.10"
2007/2/26,"2,504.52"
2007/2/27,"2,407.86"
2007/2/28,"2,416.15"
2007/3/1,"2,404.21"
2007/3/2,"2,368.00"
2007/3/5,"2,340.68"
2007/3/6,"2,385.14"
2007/3/7,"2,374.64"
2007/3/8,"2,387.73"
2007/3/9,"2,387.55"
2007/3/12,"2,402.29"
2007/3/13,"2,350.57"
2007/3/14,"2,371.74"
2007/3/15,"2,378.70"
2007/3/16,"2,372.66"
2007/3/19,"2,394.41"
2007/3/20,"2,408.21"
2007/3/21,"2,455.92"
2007/3/22,"2,451.74"
2007/3/23,"2,448.93"
2007/3/26,"2,455.63"
2007/3/27,"2,437.43"
2007/3/28,"2,417.10"
2007/3/29,"2,417.88"
2007/3/30,"2,421.64"
2007/4/2,"2,422.26"
2007/4/3,"2,450.33"
2007/4/4,"2,458.69"
2007/4/5,"2,471.34"
2007/4/9,"2,469.18"
2007/4/10,"2,477.61"
2007/4/11,"2,459.31"
2007/4/12,"2,480.32"
2007/4/13,"2,491.94"
2007/4/16,"2,518.33"
2007/4/17,"2,516.95"
2007/4/18,"2,510.50"
2007/4/19,"2,505.35"
2007/4/20,"2,526.39"
2007/4/23,"2,523.67"
2007/4/24,"2,524.54"
2007/4/25,"2,547.89"
2007/4/26,"2,554.46"
2007/4/27,"2,557.21"
2007/4/30,"2,525.09"
2007/5/1,"2,531.53"
2007/5/2,"2,557.84"
2007/5/3,"2,565.46"
2007/5/4,"2,572.15"
2007/5/7,"2,570.95"
2007/5/8,"2,571.75"
2007/5/9,"2,576.34"
2007/5/10,"2,533.74"
2007/5/11,"2,562.22"
2007/5/14,"2,546.44"
2007/5/15,"2,525.29"
2007/5/16,"2,547.42"
2007/5/17,"2,539.38"
2007/5/18,"2,558.45"
2007/5/21,"2,578.79"
2007/5/22,"2,588.02"
2007/5/23,"2,577.05"
2007/5/24,"2,537.92"
2007/5/25,"2,557.19"
2007/5/29,"2,572.06"
2007/5/30,"2,592.59"
2007/5/31,"2,604.52"
2007/6/1,"2,613.92"
2007/6/4,"2,618.29"
2007/6/5,"2,611.23"
2007/6/6,"2,587.18"
2007/6/7,"2,541.38"
2007/6/8,"2,573.54"
2007/6/11,"2,572.15"
2007/6/12,"2,549.77"
2007/6/13,"2,582.31"
2007/6/14,"2,599.41"
2007/6/15,"2,626.71"
2007/6/18,"2,626.60"
2007/6/19,"2,626.76"
2007/6/20,"2,599.96"
2007/6/21,"2,616.96"
2007/6/22,"2,588.96"
2007/6/25,"2,577.08"
2007/6/26,"2,574.16"
2007/6/27,"2,605.35"
2007/6/28,"2,608.37"
2007/6/29,"2,603.23"
2007/7/2,"2,632.30"
2007/7/3,"2,644.95"
2007/7/5,"2,656.65"
2007/7/6,"2,666.51"
2007/7/9,"2,670.02"
2007/7/10,"2,639.16"
2007/7/11,"2,651.79"
2007/7/12,"2,701.73"
2007/7/13,"2,707.00"
2007/7/16,"2,697.33"
2007/7/17,"2,712.29"
2007/7/18,"2,699.49"
2007/7/19,"2,720.04"
2007/7/20,"2,687.60"
2007/7/23,"2,690.58"
2007/7/24,"2,639.86"
2007/7/25,"2,648.17"
2007/7/26,"2,599.34"
2007/7/27,"2,561.56"
2007/7/30,"2,582.57"
2007/7/31,"2,545.57"
2007/8/1,"2,553.16"
2007/8/2,"2,575.98"
2007/8/3,"2,511.25"
2007/8/6,"2,547.33"
2007/8/7,"2,561.60"
2007/8/8,"2,612.98"
2007/8/9,"2,556.49"
2007/8/10,"2,544.89"
2007/8/13,"2,542.24"
2007/8/14,"2,499.12"
2007/8/15,"2,458.83"
2007/8/16,"2,451.07"
2007/8/17,"2,505.03"
2007/8/20,"2,508.59"
2007/8/21,"2,521.30"
2007/8/22,"2,552.80"
2007/8/23,"2,541.70"
2007/8/24,"2,576.69"
2007/8/27,"2,561.25"
2007/8/28,"2,500.64"
2007/8/29,"2,563.16"
2007/8/30,"2,565.30"
2007/8/31,"2,596.36"
2007/9/4,"2,630.24"
2007/9/5,"2,605.95"
2007/9/6,"2,614.32"
2007/9/7,"2,565.70"
2007/9/10,"2,559.11"
2007/9/11,"2,597.47"
2007/9/12,"2,592.07"
2007/9/13,"2,601.06"
2007/9/14,"2,602.18"
2007/9/17,"2,581.66"
2007/9/18,"2,651.66"
2007/9/19,"2,666.48"
2007/9/20,"2,654.29"
2007/9/21,"2,671.22"
2007/9/24,"2,667.95"
2007/9/25,"2,683.45"
2007/9/26,"2,699.03"
2007/9/27,"2,709.59"
2007/9/28,"2,701.50"
2007/10/1,"2,740.99"
2007/10/2,"2,747.11"
2007/10/3,"2,729.43"
2007/10/4,"2,733.57"
2007/10/5,"2,780.32"
2007/10/8,"2,787.37"
2007/10/9,"2,803.91"
2007/10/10,"2,811.61"
2007/10/11,"2,772.20"
2007/10/12,"2,805.68"
2007/10/15,"2,780.05"
2007/10/16,"2,763.91"
2007/10/17,"2,792.67"
2007/10/18,"2,799.31"
2007/10/19,"2,725.16"
2007/10/22,"2,753.93"
2007/10/23,"2,799.26"
2007/10/24,"2,774.76"
2007/10/25,"2,750.86"
2007/10/26,"2,804.19"
2007/10/29,"2,817.44"
2007/10/30,"2,816.71"
2007/10/31,"2,859.12"
2007/11/1,"2,794.83"
2007/11/2,"2,810.38"
2007/11/5,"2,795.18"
2007/11/6,"2,825.18"
2007/11/7,"2,748.76"
2007/11/8,"2,696.00"
2007/11/9,"2,627.94"
2007/11/12,"2,584.13"
2007/11/13,"2,673.65"
2007/11/14,"2,644.32"
2007/11/15,"2,618.51"
2007/11/16,"2,637.24"
2007/11/19,"2,593.38"
2007/11/20,"2,596.81"
2007/11/21,"2,562.15"
2007/11/23,"2,596.60"
2007/11/26,"2,540.99"
2007/11/27,"2,580.80"
2007/11/28,"2,662.91"
2007/11/29,"2,668.13"
2007/11/30,"2,660.96"
2007/12/3,"2,637.13"
2007/12/4,"2,619.83"
2007/12/5,"2,666.36"
2007/12/6,"2,709.03"
2007/12/7,"2,706.16"
2007/12/10,"2,718.95"
2007/12/11,"2,652.35"
2007/12/12,"2,671.14"
2007/12/13,"2,668.49"
2007/12/14,"2,635.74"
2007/12/17,"2,574.46"
2007/12/18,"2,596.03"
2007/12/19,"2,601.01"
2007/12/20,"2,640.86"
2007/12/21,"2,691.99"
2007/12/24,"2,713.50"
2007/12/26,"2,724.41"
2007/12/27,"2,676.79"
2007/12/28,"2,674.46"
2007/12/31,"2,652.28"
2008/1/2,"2,609.63"
2008/1/3,"2,602.68"
2008/1/4,"2,504.65"
2008/1/7,"2,499.46"
2008/1/8,"2,440.51"
2008/1/9,"2,474.55"
2008/1/10,"2,488.52"
2008/1/11,"2,439.94"
2008/1/14,"2,478.30"
2008/1/15,"2,417.59"
2008/1/16,"2,394.59"
2008/1/17,"2,346.90"
2008/1/18,"2,340.02"
2008/1/22,"2,292.27"
2008/1/23,"2,316.41"
2008/1/24,"2,360.92"
2008/1/25,"2,326.20"
2008/1/28,"2,349.91"
2008/1/29,"2,358.06"
2008/1/30,"2,349.00"
2008/1/31,"2,389.86"
2008/2/1,"2,413.36"
2008/2/4,"2,382.85"
2008/2/5,"2,309.57"
2008/2/6,"2,278.75"
2008/2/7,"2,293.03"
2008/2/8,"2,304.85"
2008/2/11,"2,320.06"
2008/2/12,"2,320.04"
2008/2/13,"2,373.93"
2008/2/14,"2,332.54"
2008/2/15,"2,321.80"
2008/2/19,"2,306.20"
2008/2/20,"2,327.10"
2008/2/21,"2,299.78"
2008/2/22,"2,303.35"
2008/2/25,"2,327.48"
2008/2/26,"2,344.99"
2008/2/27,"2,353.78"
2008/2/28,"2,331.57"
2008/2/29,"2,271.48"
2008/3/3,"2,258.60"
2008/3/4,"2,260.28"
2008/3/5,"2,272.81"
2008/3/6,"2,220.50"
2008/3/7,"2,212.49"
2008/3/10,"2,169.34"
2008/3/11,"2,255.76"
2008/3/12,"2,243.87"
2008/3/13,"2,263.61"
2008/3/14,"2,212.49"
2008/3/17,"2,177.01"
2008/3/18,"2,268.26"
2008/3/19,"2,209.96"
2008/3/20,"2,258.11"
2008/3/24,"2,326.75"
2008/3/25,"2,341.05"
2008/3/26,"2,324.36"
2008/3/27,"2,280.83"
2008/3/28,"2,261.18"
2008/3/31,"2,279.10"
2008/4/1,"2,362.75"
2008/4/2,"2,361.40"
2008/4/3,"2,363.30"
2008/4/4,"2,370.98"
2008/4/7,"2,364.83"
2008/4/8,"2,348.76"
2008/4/9,"2,322.12"
2008/4/10,"2,351.70"
2008/4/11,"2,290.24"
2008/4/14,"2,275.82"
2008/4/15,"2,286.04"
2008/4/16,"2,350.11"
2008/4/17,"2,341.83"
2008/4/18,"2,402.97"
2008/4/21,"2,408.04"
2008/4/22,"2,376.94"
2008/4/23,"2,405.21"
2008/4/24,"2,428.92"
2008/4/25,"2,422.93"
2008/4/28,"2,424.40"
2008/4/29,"2,426.10"
2008/4/30,"2,412.80"
2008/5/1,"2,480.71"
2008/5/2,"2,476.99"
2008/5/5,"2,464.12"
2008/5/6,"2,483.31"
2008/5/7,"2,438.49"
2008/5/8,"2,451.24"
2008/5/9,"2,445.52"
2008/5/12,"2,488.49"
2008/5/13,"2,495.12"
2008/5/14,"2,496.70"
2008/5/15,"2,533.73"
2008/5/16,"2,528.85"
2008/5/19,"2,516.09"
2008/5/20,"2,492.26"
2008/5/21,"2,448.27"
2008/5/22,"2,464.58"
2008/5/23,"2,444.67"
2008/5/27,"2,481.24"
2008/5/28,"2,486.70"
2008/5/29,"2,508.32"
2008/5/30,"2,522.66"
2008/6/2,"2,491.53"
2008/6/3,"2,480.48"
2008/6/4,"2,503.14"
2008/6/5,"2,549.94"
2008/6/6,"2,474.56"
2008/6/9,"2,459.46"
2008/6/10,"2,448.94"
2008/6/11,"2,394.01"
2008/6/12,"2,404.35"
2008/6/13,"2,454.50"
2008/6/16,"2,474.78"
2008/6/17,"2,457.73"
2008/6/18,"2,429.71"
2008/6/19,"2,462.06"
2008/6/20,"2,406.09"
2008/6/23,"2,385.74"
2008/6/24,"2,368.28"
2008/6/25,"2,401.26"
2008/6/26,"2,321.37"
2008/6/27,"2,315.63"
2008/6/30,"2,292.98"
2008/7/1,"2,304.97"
2008/7/2,"2,251.46"
2008/7/3,"2,245.38"
2008/7/7,"2,243.32"
2008/7/8,"2,294.44"
2008/7/9,"2,234.89"
2008/7/10,"2,257.85"
2008/7/11,"2,239.08"
2008/7/14,"2,212.87"
2008/7/15,"2,215.71"
2008/7/16,"2,284.85"
2008/7/17,"2,312.30"
2008/7/18,"2,282.78"
2008/7/21,"2,279.53"
2008/7/22,"2,303.96"
2008/7/23,"2,325.88"
2008/7/24,"2,280.11"
2008/7/25,"2,310.53"
2008/7/28,"2,264.22"
2008/7/29,"2,319.62"
2008/7/30,"2,329.72"
2008/7/31,"2,325.55"
2008/8/1,"2,310.96"
2008/8/4,"2,285.56"
2008/8/5,"2,349.83"
2008/8/6,"2,378.37"
2008/8/7,"2,355.73"
2008/8/8,"2,414.10"
2008/8/11,"2,439.95"
2008/8/12,"2,430.61"
2008/8/13,"2,428.62"
2008/8/14,"2,453.67"
2008/8/15,"2,452.52"
2008/8/18,"2,416.98"
2008/8/19,"2,384.36"
2008/8/20,"2,389.08"
2008/8/21,"2,380.38"
2008/8/22,"2,414.71"
2008/8/25,"2,365.59"
2008/8/26,"2,361.97"
2008/8/27,"2,382.46"
2008/8/28,"2,411.64"
2008/8/29,"2,367.52"
2008/9/2,"2,349.24"
2008/9/3,"2,333.73"
2008/9/4,"2,259.04"
2008/9/5,"2,255.88"
2008/9/8,"2,269.76"
2008/9/9,"2,209.81"
2008/9/10,"2,228.70"
2008/9/11,"2,258.22"
2008/9/12,"2,261.27"
2008/9/15,"2,179.91"
2008/9/16,"2,207.90"
2008/9/17,"2,098.85"
2008/9/18,"2,199.10"
2008/9/19,"2,273.90"
2008/9/22,"2,178.98"
2008/9/23,"2,153.33"
2008/9/24,"2,155.68"
2008/9/25,"2,186.57"
2008/9/26,"2,183.34"
2008/9/29,"1,983.73"
2008/9/30,"2,091.88"
2008/10/1,"2,069.40"
2008/10/2,"1,976.72"
2008/10/3,"1,947.39"
2008/10/6,"1,862.96"
2008/10/7,"1,754.88"
2008/10/8,"1,740.33"
2008/10/9,"1,645.12"
2008/10/10,"1,649.51"
2008/10/13,"1,844.25"
2008/10/14,"1,779.01"
2008/10/15,"1,628.33"
2008/10/16,"1,717.71"
2008/10/17,"1,711.29"
2008/10/20,"1,770.03"
2008/10/21,"1,696.68"
2008/10/22,"1,615.75"
2008/10/23,"1,603.91"
2008/10/24,"1,552.03"
2008/10/27,"1,505.90"
2008/10/28,"1,649.47"
2008/10/29,"1,657.21"
2008/10/30,"1,698.52"
2008/10/31,"1,720.95"
2008/11/3,"1,726.33"
2008/11/4,"1,780.12"
2008/11/5,"1,681.64"
2008/11/6,"1,608.70"
2008/11/7,"1,647.40"
2008/11/10,"1,616.74"
2008/11/11,"1,580.90"
2008/11/12,"1,499.21"
2008/11/13,"1,596.70"
2008/11/14,"1,516.85"
2008/11/17,"1,482.05"
2008/11/18,"1,483.27"
2008/11/19,"1,386.42"
2008/11/20,"1,316.12"
2008/11/21,"1,384.35"
2008/11/24,"1,472.02"
2008/11/25,"1,464.73"
2008/11/26,"1,532.10"
2008/11/28,"1,535.57"
2008/12/1,"1,398.07"
2008/12/2,"1,449.80"
2008/12/3,"1,492.38"
2008/12/4,"1,445.56"
2008/12/5,"1,509.31"
2008/12/8,"1,571.74"
2008/12/9,"1,547.34"
2008/12/10,"1,565.48"
2008/12/11,"1,507.88"
2008/12/12,"1,540.72"
2008/12/15,"1,508.34"
2008/12/16,"1,589.89"
2008/12/17,"1,579.31"
2008/12/18,"1,552.37"
2008/12/19,"1,564.32"
2008/12/22,"1,532.35"
2008/12/23,"1,521.54"
2008/12/24,"1,524.90"
2008/12/26,"1,530.24"
2008/12/29,"1,510.32"
2008/12/30,"1,550.70"
2008/12/31,"1,577.03"
2009/1/2,"1,632.21"
2009/1/5,"1,628.03"
2009/1/6,"1,652.38"
2009/1/7,"1,599.06"
2009/1/8,"1,617.01"
2009/1/9,"1,571.59"
2009/1/12,"1,538.79"
2009/1/13,"1,546.46"
2009/1/14,"1,489.64"
2009/1/15,"1,511.84"
2009/1/16,"1,529.33"
2009/1/20,"1,440.86"
2009/1/21,"1,507.07"
2009/1/22,"1,465.49"
2009/1/23,"1,477.29"
2009/1/26,"1,489.46"
2009/1/27,"1,504.90"
2009/1/28,"1,558.34"
2009/1/29,"1,507.84"
2009/1/30,"1,476.42"
2009/2/2,"1,494.43"
2009/2/3,"1,516.30"
2009/2/4,"1,515.05"
2009/2/5,"1,546.24"
2009/2/6,"1,591.71"
2009/2/9,"1,591.56"
2009/2/10,"1,524.73"
2009/2/11,"1,530.50"
2009/2/12,"1,541.71"
2009/2/13,"1,534.36"
2009/2/17,"1,470.66"
2009/2/18,"1,467.97"
2009/2/19,"1,442.82"
2009/2/20,"1,441.23"
2009/2/23,"1,387.72"
2009/2/24,"1,441.83"
2009/2/25,"1,425.43"
2009/2/26,"1,391.47"
2009/2/27,"1,377.84"
2009/3/2,"1,322.85"
2009/3/3,"1,321.01"
2009/3/4,"1,353.74"
2009/3/5,"1,299.59"
2009/3/6,"1,293.85"
2009/3/9,"1,268.64"
2009/3/10,"1,358.28"
2009/3/11,"1,371.64"
2009/3/12,"1,426.10"
2009/3/13,"1,431.50"
2009/3/16,"1,404.02"
2009/3/17,"1,462.11"
2009/3/18,"1,491.22"
2009/3/19,"1,483.48"
2009/3/20,"1,457.27"
2009/3/23,"1,555.77"
2009/3/24,"1,516.52"
2009/3/25,"1,528.95"
2009/3/26,"1,587.00"
2009/3/27,"1,545.20"
2009/3/30,"1,501.80"
2009/3/31,"1,528.59"
2009/4/1,"1,551.60"
2009/4/2,"1,602.63"
2009/4/3,"1,621.87"
2009/4/6,"1,606.71"
2009/4/7,"1,561.61"
2009/4/8,"1,590.66"
2009/4/9,"1,652.54"
2009/4/13,"1,653.31"
2009/4/14,"1,625.72"
2009/4/15,"1,626.80"
2009/4/16,"1,670.44"
2009/4/17,"1,673.07"
2009/4/20,"1,608.21"
2009/4/21,"1,643.85"
2009/4/22,"1,646.12"
2009/4/23,"1,652.21"
2009/4/24,"1,694.29"
2009/4/27,"1,679.41"
2009/4/28,"1,673.81"
2009/4/29,"1,711.94"
2009/4/30,"1,717.30"
2009/5/1,"1,719.20"
2009/5/4,"1,763.56"
2009/5/5,"1,754.12"
2009/5/6,"1,759.10"
2009/5/7,"1,716.24"
2009/5/8,"1,739.00"
2009/5/11,"1,731.24"
2009/5/12,"1,715.92"
2009/5/13,"1,664.19"
2009/5/14,"1,689.21"
2009/5/15,"1,680.14"
2009/5/18,"1,732.36"
2009/5/19,"1,734.54"
2009/5/20,"1,727.84"
2009/5/21,"1,695.25"
2009/5/22,"1,692.01"
2009/5/26,"1,750.43"
2009/5/27,"1,731.08"
2009/5/28,"1,751.79"
2009/5/29,"1,774.33"
2009/6/1,"1,828.68"
2009/6/2,"1,836.80"
2009/6/3,"1,825.92"
2009/6/4,"1,850.02"
2009/6/5,"1,849.42"
2009/6/8,"1,842.40"
2009/6/9,"1,860.13"
2009/6/10,"1,853.08"
2009/6/11,"1,862.37"
2009/6/12,"1,858.80"
2009/6/15,"1,816.38"
2009/6/16,"1,796.18"
2009/6/17,"1,808.06"
2009/6/18,"1,807.72"
2009/6/19,"1,827.47"
2009/6/22,"1,766.19"
2009/6/23,"1,764.92"
2009/6/24,"1,792.34"
2009/6/25,"1,829.54"
2009/6/26,"1,838.22"
2009/6/29,"1,844.06"
2009/6/30,"1,835.04"
2009/7/1,"1,845.72"
2009/7/2,"1,796.52"
2009/7/6,"1,787.40"
2009/7/7,"1,746.17"
2009/7/8,"1,747.17"
2009/7/9,"1,752.55"
2009/7/10,"1,756.03"
2009/7/13,"1,793.21"
2009/7/14,"1,799.73"
2009/7/15,"1,862.90"
2009/7/16,"1,885.03"
2009/7/17,"1,886.61"
2009/7/20,"1,909.29"
2009/7/21,"1,916.20"
2009/7/22,"1,926.38"
2009/7/23,"1,973.60"
2009/7/24,"1,965.96"
2009/7/27,"1,967.89"
2009/7/28,"1,975.51"
2009/7/29,"1,967.76"
2009/7/30,"1,984.30"
2009/7/31,"1,978.50"
2009/8/3,"2,008.61"
2009/8/4,"2,011.31"
2009/8/5,"1,993.05"
2009/8/6,"1,973.16"
2009/8/7,"2,000.25"
2009/8/10,"1,992.24"
2009/8/11,"1,969.73"
2009/8/12,"1,998.72"
2009/8/13,"2,009.35"
2009/8/14,"1,985.52"
2009/8/17,"1,930.84"
2009/8/18,"1,955.92"
2009/8/19,"1,969.24"
2009/8/20,"1,989.22"
2009/8/21,"2,020.90"
2009/8/24,"2,017.98"
2009/8/25,"2,024.23"
2009/8/26,"2,024.43"
2009/8/27,"2,027.73"
2009/8/28,"2,028.77"
2009/8/31,"2,009.06"
2009/9/1,"1,968.89"
2009/9/2,"1,967.07"
2009/9/3,"1,983.20"
2009/9/4,"2,018.78"
2009/9/8,"2,037.77"
2009/9/9,"2,060.39"
2009/9/10,"2,084.02"
2009/9/11,"2,080.90"
2009/9/14,"2,091.78"
2009/9/15,"2,102.64"
2009/9/16,"2,133.15"
2009/9/17,"2,126.75"
2009/9/18,"2,132.86"
2009/9/21,"2,138.04"
2009/9/22,"2,146.30"
2009/9/23,"2,131.42"
2009/9/24,"2,107.61"
2009/9/25,"2,090.92"
2009/9/28,"2,130.74"
2009/9/29,"2,124.04"
2009/9/30,"2,122.42"
2009/10/1,"2,057.48"
2009/10/2,"2,048.11"
